Wines,Fruits,Fish,Sweets,Gold,NumDealsPurchases
24,0,0,0,1,2
918,21,13,10,21,3
138,33,28,24,12,4
12,4,10,6,10,4
11,0,0,0,2,1
1,2,4,3,13,2
554,41,11,0,24,3
167,2,24,13,7,4
9,0,4,1,5,1
177,2,3,2,20,6
38,4,4,2,20,4
483,84,205,84,241,1
77,2,0,1,69,4
182,74,162,149,116,1
10,7,8,2,21,2
778,44,95,73,146,2
16,7,0,8,6,3
167,0,6,2,13,2
13,2,8,7,4,4
33,6,3,7,10,3
625,7,10,22,7,2
216,162,101,92,162,2
68,129,188,22,15,1
196,0,33,130,54,1
635,15,20,7,131,1
4,19,28,25,17,3
297,7,0,11,182,2
84,5,150,12,28,2
204,7,20,15,66,1
26,0,0,0,3,2
15,6,4,5,20,1
304,98,150,74,74,1
285,28,55,114,135,13
395,183,166,141,28,1
248,3,4,3,51,3
20,6,0,9,12,1
39,0,20,8,14,3
777,129,216,21,203,1
8,3,21,1,13,3
9,1,0,4,8,1
1241,0,0,13,40,3
6,4,4,3,8,1
65,4,0,4,11,1
395,15,60,54,38,1
801,0,0,0,35,5
36,0,2,2,10,4
513,14,19,0,28,1
37,0,4,3,0,1
80,15,20,13,52,3
14,1,2,3,25,3
525,147,219,147,63,1
1,26,17,23,15,1
675,11,15,45,11,1
509,0,0,0,10,1
154,2,20,4,15,1
3,5,2,12,17,4
25,0,2,0,2,2
768,44,77,44,14,1
185,0,3,2,17,6
24,0,0,0,1,2
44,4,6,0,27,2
91,64,65,3,50,2
11,0,3,1,6,2
412,5,38,29,77,3
3,3,6,2,9,1
16,0,0,0,1,1
731,60,78,12,73,5
424,17,7,23,41,6
792,0,45,45,126,1
21,2,3,2,9,3
22,1,0,1,2,1
33,0,0,0,0,1
68,7,10,5,11,4
9,1,3,0,4,1
40,2,8,0,6,1
909,11,0,0,23,2
23,1,2,2,18,1
11,2,3,0,8,2
317,46,151,46,139,1
797,153,72,97,30,1
10,2,11,2,21,1
856,61,40,25,122,1
456,19,75,118,38,1
37,32,11,3,18,1
1103,0,0,0,34,3
378,14,19,14,14,2
1,6,0,1,3,1
204,34,172,153,173,1
30,0,0,0,3,2
189,104,111,189,218,1
15,0,7,3,7,3
9,0,0,0,4,1
495,33,11,33,8,4
656,80,52,107,93,2
452,20,13,30,0,3
546,91,119,0,22,1
1048,0,0,0,12,5
22,2,0,1,10,2
78,0,0,0,10,1
561,64,84,128,48,1
629,17,69,0,8,1
269,15,15,19,38,2
736,163,212,163,61,1
512,0,0,0,41,3
19,3,11,8,6,3
9,0,4,1,5,1
247,8,6,8,65,7
404,0,28,27,142,2
333,0,129,42,29,1
2,3,6,11,9,2
833,33,151,133,233,1
789,0,12,9,38,2
10,4,0,6,3,1
159,4,6,2,38,6
7,1,3,1,11,1
977,12,16,12,101,4
38,4,3,3,3,3
57,0,0,0,36,4
3,9,13,2,39,1
10,4,4,4,1,1
1043,24,32,24,157,2
3,9,2,12,12,1
11,0,0,0,1,1
3,6,0,2,6,1
43,12,78,40,55,3
73,3,12,1,32,7
12,0,0,0,6,1
4,7,6,4,13,3
314,11,4,3,107,3
571,50,33,50,159,4
70,0,2,8,23,1
866,21,28,21,86,3
594,134,33,134,57,0
140,4,0,13,4,2
375,152,93,91,81,1
102,9,2,9,24,1
554,35,0,7,78,3
919,0,99,30,45,1
96,1,12,3,32,4
5,2,3,2,19,2
2,0,8,6,5,1
6,4,6,36,35,4
23,1,0,8,7,4
610,105,137,42,21,1
67,5,3,8,19,5
65,36,38,20,110,1
416,0,0,0,4,9
23,0,3,2,2,1
19,3,10,9,3,3
155,7,13,7,10,3
14,0,3,3,2,1
370,9,6,9,4,3
4,22,3,7,32,2
407,53,58,150,26,4
1200,0,38,29,14,3
85,44,102,78,6,3
583,34,0,22,125,2
483,0,156,0,12,1
2,5,28,6,28,3
966,26,52,26,26,1
822,114,179,137,114,1
604,0,19,0,28,9
19,3,3,1,3,2
5,3,12,5,9,1
2,2,2,1,1,1
1076,68,29,91,68,1
1285,42,55,0,21,0
10,0,2,0,1,1
551,137,179,103,33,1
800,0,0,34,57,2
2,2,10,6,12,2
378,0,97,172,172,2
1248,16,43,16,16,1
235,0,19,4,191,5
515,47,149,95,95,15
438,66,12,38,114,1
25,0,2,3,5,2
31,0,2,0,6,1
357,35,28,28,14,3
400,4,6,0,22,2
99,0,2,1,5,3
1,11,4,6,9,2
5,4,8,0,4,1
77,28,16,0,4,2
3,1,4,3,1,1
10,4,4,4,1,1
0,6,7,6,12,1
0,0,2,12,5,1
76,14,13,5,10,2
398,190,61,156,37,1
14,7,11,0,5,2
208,7,30,66,35,2
430,16,43,24,33,5
656,38,62,47,37,3
14,2,8,2,3,1
141,70,72,19,23,2
507,19,25,47,9,3
164,24,12,3,42,7
606,24,197,194,64,1
116,11,3,17,46,4
143,15,24,23,5,2
398,96,220,96,32,1
522,0,32,16,66,4
161,0,199,191,122,1
112,0,2,1,14,2
483,84,205,84,241,1
7,5,17,15,37,2
789,25,16,38,0,1
1239,17,23,34,17,1
4,1,2,0,3,1
335,42,28,5,5,3
639,8,11,8,58,3
563,76,84,192,89,4
2,0,2,2,3,1
746,8,11,8,8,7
22,1,4,0,4,2
4,1,4,1,9,1
478,0,110,75,117,4
20,3,2,0,2,2
451,0,0,4,24,1
371,22,6,0,92,4
281,7,15,0,119,7
19,7,0,1,24,1
26,3,2,10,0,1
138,15,25,11,72,2
213,2,0,2,5,4
407,28,120,74,18,1
483,74,169,37,18,1
738,0,13,20,50,2
502,12,16,6,90,2
11,0,2,1,1,1
24,1,29,29,14,1
1170,19,99,76,134,2
185,2,15,5,14,2
983,20,240,50,40,1
691,0,10,0,130,4
504,13,8,0,26,1
317,25,25,19,12,3
29,1,2,0,2,1
1396,0,46,35,17,1
529,0,63,28,0,3
388,14,91,14,21,1
13,2,4,0,24,2
28,0,0,0,0,1
16,36,20,62,108,1
1047,0,67,38,153,2
31,0,2,0,6,1
815,10,28,10,108,2
225,162,106,36,29,1
493,70,146,40,84,1
34,4,3,10,20,1
382,138,60,26,59,6
127,1,0,1,31,3
325,83,86,58,91,1
238,17,8,10,6,3
1168,92,72,129,55,1
284,0,0,6,52,4
1288,20,80,61,27,1
65,0,4,3,20,4
11,7,3,1,11,1
227,23,42,21,75,1
1035,134,25,38,0,1
27,1,2,0,10,2
982,73,56,14,175,1
179,2,38,17,58,1
1379,33,0,33,66,1
32,1,16,12,85,3
8,4,7,6,2,1
881,38,16,25,12,1
141,15,67,31,35,1
1000,155,224,17,120,1
206,10,30,27,71,6
162,61,97,57,61,4
619,54,127,54,54,1
456,4,0,0,9,7
112,6,3,9,38,2
11,3,2,2,6,2
172,12,8,0,15,4
78,0,0,0,7,1
464,151,65,60,30,1
99,4,37,54,6,2
19,3,4,5,26,3
1,9,11,3,22,3
63,10,7,19,19,2
252,3,4,3,102,2
1478,19,0,19,0,1
198,18,32,108,54,2
8,4,6,7,6,2
416,46,60,107,46,1
42,7,20,12,10,1
14,3,2,1,28,4
17,0,0,0,1,2
15,4,3,4,18,2
6,16,11,0,34,2
458,0,6,4,34,2
30,3,19,21,42,1
179,28,111,123,47,1
90,17,15,6,15,6
308,85,102,45,118,2
557,129,29,185,111,1
7,4,15,8,17,2
1492,38,50,57,33,1
30,8,8,8,12,1
249,153,58,134,38,0
465,25,136,0,37,2
129,129,168,121,83,5
174,18,28,6,24,3
189,2,3,2,40,2
747,10,65,40,42,4
6,0,2,0,1,1
14,0,0,0,4,1
12,0,0,0,1,1
98,0,49,10,106,5
32,0,0,0,1,2
51,12,17,24,24,3
200,5,0,10,20,1
25,6,6,0,0,2
1050,12,0,0,24,3
117,0,13,0,30,3
9,4,10,2,7,4
56,0,0,0,8,2
145,13,17,2,4,6
203,0,0,0,2,5
270,3,39,6,99,7
9,0,6,6,10,1
37,12,8,11,52,1
46,0,0,0,2,2
31,1,7,2,9,4
1060,21,32,0,224,1
264,47,54,47,11,2
399,4,6,4,30,3
8,9,2,5,22,1
19,0,6,4,17,2
817,183,106,163,20,0
292,127,132,127,165,1
12,6,11,2,16,1
130,30,20,34,0,1
6,4,3,10,30,3
16,12,7,1,13,1
19,0,0,0,2,2
4,7,13,9,15,3
31,3,2,8,4,3
36,0,0,0,4,1
526,28,10,21,99,3
400,32,71,75,54,1
410,16,0,5,49,3
80,3,4,2,14,4
88,10,2,3,64,4
55,0,2,0,4,2
5,1,3,5,1,1
8,4,15,2,11,2
410,0,147,22,22,1
101,13,20,18,40,2
162,25,16,0,10,1
2,8,4,7,15,1
25,0,2,0,2,2
389,91,64,49,41,3
215,13,17,17,24,5
27,0,0,0,3,2
85,1,2,1,2,0
5,6,6,5,10,1
179,8,19,11,26,5
352,0,10,0,15,3
17,8,11,15,32,1
625,35,58,17,35,1
10,6,0,4,2,1
390,22,104,35,107,1
10,2,2,1,6,2
215,63,231,31,190,1
1001,17,93,125,17,7
19,18,24,1,8,3
41,5,10,3,3,3
1181,107,39,30,30,2
603,45,36,18,54,1
129,129,168,121,83,5
10,24,13,1,30,1
514,22,42,198,79,1
14,0,0,0,1,1
387,20,38,54,163,1
121,103,8,44,48,1
965,69,54,41,69,5
707,21,85,43,73,2
571,50,33,50,159,4
586,66,17,0,26,1
1063,89,16,12,25,4
305,3,4,3,144,2
1200,105,0,42,147,1
163,2,8,11,11,7
1009,181,202,21,207,0
125,6,8,4,19,1
721,0,119,50,50,3
315,4,41,31,146,2
1000,19,125,115,38,0
16,0,6,3,6,2
757,80,29,80,11,5
30,2,0,1,9,1
219,3,26,0,17,2
1,1,1,1,1,0
111,3,2,6,15,2
45,47,21,20,25,2
410,112,0,82,71,1
100,1,6,1,76,4
509,0,7,11,5,4
3,6,0,2,6,1
445,53,104,98,151,1
2,2,41,7,11,1
4,1,6,2,2,1
6,1,23,4,19,1
14,0,0,0,3,1
1,10,19,3,15,2
26,0,0,0,2,1
111,16,7,9,18,3
418,61,80,51,10,3
327,9,19,14,83,5
371,159,58,106,141,4
275,59,69,101,59,2
789,0,12,9,38,2
1,1,0,3,1,1
1004,12,32,12,36,3
187,81,25,43,91,1
56,4,17,1,18,4
365,32,34,110,6,1
595,23,10,23,154,2
1132,134,175,134,115,1
34,11,179,61,45,1
116,6,6,6,41,2
565,32,28,32,54,1
372,18,47,48,78,2
899,102,133,102,40,1
55,16,17,3,4,15
760,40,0,40,26,1
260,86,63,9,67,1
459,0,6,0,4,6
466,0,119,49,99,1
67,15,17,11,80,3
2,0,3,7,10,1
67,1,0,2,31,3
92,4,3,3,6,1
4,2,2,0,4,1
20,1,3,3,2,3
273,11,62,83,29,2
434,22,104,22,34,1
321,11,33,26,34,3
212,123,15,64,23,2
909,12,0,12,242,3
1184,32,21,16,16,1
112,19,16,14,5,3
656,80,52,107,93,2
23,0,6,2,18,1
537,6,16,6,30,2
712,0,0,0,191,3
23,1,2,2,18,1
1,3,2,2,6,1
664,58,32,0,66,4
6,10,19,14,42,2
299,5,21,21,49,3
99,13,43,8,4,3
749,40,121,160,147,1
345,25,63,138,80,1
9,4,7,5,5,2
440,81,0,122,174,6
8,2,3,0,3,1
670,9,0,28,9,2
524,0,28,28,155,1
6,0,2,1,1,2
597,166,172,166,249,1
7,0,13,7,32,5
54,0,0,0,4,1
445,25,80,76,48,1
294,142,164,58,151,1
292,3,10,3,26,7
412,22,59,28,183,1
8,0,0,0,0,1
349,4,6,0,43,8
328,9,12,24,109,7
144,2,7,2,30,5
1126,28,37,28,42,3
967,0,43,50,0,1
432,79,177,136,170,2
138,39,55,18,21,1
0,0,7,4,6,1
509,133,78,24,97,2
948,10,13,21,21,4
39,2,4,3,24,2
28,1,3,0,10,3
13,11,13,8,40,2
307,26,138,31,40,1
901,31,75,31,191,1
2,5,4,8,7,3
283,17,138,106,44,1
4,3,0,3,11,1
769,80,15,34,65,1
518,42,55,56,84,1
350,8,17,4,4,2
445,53,104,98,151,1
778,178,41,27,44,1
709,93,104,80,80,1
359,35,93,116,89,1
799,12,16,12,12,5
895,10,13,0,152,5
40,2,0,4,23,2
76,0,0,0,16,1
11,5,12,5,11,2
245,16,21,43,16,2
647,107,175,67,40,1
39,1,2,1,34,1
203,35,46,17,227,1
138,3,4,0,59,3
587,51,247,0,86,1
595,97,127,133,121,1
43,12,29,15,61,1
301,7,10,0,58,4
180,32,76,32,90,2
794,115,150,0,205,1
392,5,28,26,112,8
39,1,3,4,12,3
107,2,2,2,12,0
13,0,0,0,0,1
70,0,0,0,6,2
680,11,75,0,0,1
26,1,0,1,4,2
522,0,227,120,134,2
412,12,78,182,0,1
6,5,8,0,5,2
2,3,4,1,9,1
1,3,2,5,5,1
6,2,6,6,3,1
4,12,3,16,17,2
18,2,0,2,6,5
324,48,39,18,198,6
327,9,25,4,139,6
229,27,13,3,34,4
521,168,80,76,61,1
184,23,30,23,23,1
4,8,12,2,13,1
183,2,7,2,12,4
31,19,26,14,52,2
219,3,12,9,12,1
479,28,75,14,35,3
584,44,46,8,177,3
627,91,159,91,15,1
24,1,12,2,5,3
330,5,36,27,16,4
19,1,2,1,8,1
28,23,29,14,47,3
606,148,15,148,22,1
1039,43,153,58,29,3
411,0,0,0,21,6
34,1,2,7,0,1
161,28,32,3,45,4
623,53,23,17,133,7
604,26,123,161,94,2
3,10,3,16,32,1
12,2,6,1,10,2
184,174,50,30,32,1
393,0,90,69,69,6
410,73,76,161,30,0
376,9,19,4,4,2
7,2,2,1,4,1
68,0,51,157,68,3
642,14,0,7,57,1
8,7,13,6,12,2
840,53,23,71,17,1
7,10,3,11,11,2
464,5,7,0,37,1
30,3,19,21,42,1
1492,38,50,57,33,1
752,122,39,153,34,1
1279,15,20,0,15,3
22,1,2,1,2,2
860,28,73,56,56,1
3,0,13,0,1,1
10,5,11,1,8,1
351,16,7,5,145,1
421,5,0,16,10,3
2,5,0,18,18,2
25,1,2,1,1,2
336,123,46,123,141,5
191,9,0,6,82,2
563,50,28,31,187,1
31,0,0,1,8,1
479,5,7,17,171,2
18,6,12,8,17,3
91,65,10,44,28,3
5,7,19,14,20,4
2,14,16,3,7,4
362,50,134,35,54,1
724,74,97,55,130,1
605,91,0,45,205,2
547,7,0,7,63,3
104,1,13,9,14,2
8,2,0,10,18,4
224,2,7,0,110,2
384,0,21,32,5,3
556,54,202,133,63,1
24,0,0,0,9,2
408,0,0,0,17,3
265,199,234,9,170,7
34,0,0,0,0,1
374,64,84,25,64,3
27,2,0,0,1,2
600,20,29,30,33,1
13,2,6,1,0,2
167,2,0,0,34,6
0,2,4,1,5,1
46,35,84,41,66,6
88,39,58,13,93,2
243,11,10,3,15,3
275,11,25,7,7,3
6,0,0,0,0,1
121,62,68,20,125,3
4,12,19,7,12,2
1308,0,23,0,0,1
515,47,62,66,38,2
4,0,17,4,4,3
48,13,24,15,25,4
562,58,43,16,142,1
769,22,210,143,33,1
379,4,12,9,98,7
29,12,19,1,36,2
387,68,89,45,68,1
12,23,30,18,7,4
6,10,3,15,40,3
27,1,4,1,21,2
9,1,0,0,1,1
22,0,6,5,3,2
899,102,133,102,40,1
889,55,168,92,129,1
189,2,0,5,12,4
48,0,0,0,5,2
230,14,82,24,58,8
852,60,78,36,48,2
35,3,4,1,20,2
205,20,23,2,56,6
255,31,40,56,175,1
0,0,8,3,2,1
437,8,160,49,42,2
825,8,11,0,242,2
316,58,76,51,135,1
756,138,160,169,61,2
194,55,15,0,3,3
7,17,6,10,26,4
183,33,59,103,57,1
171,0,0,1,20,2
243,101,29,40,40,1
181,21,39,3,96,1
151,7,0,7,28,5
494,92,194,11,241,1
464,28,29,18,37,0
5,1,10,0,7,1
29,0,0,5,4,1
102,9,24,3,12,1
604,28,91,28,28,1
571,12,63,60,24,1
953,0,0,0,174,6
63,3,8,9,28,2
770,29,250,27,24,1
398,61,138,61,53,1
741,19,50,9,28,1
1478,19,0,19,0,1
156,29,30,32,47,2
960,64,146,0,16,1
38,0,0,0,6,1
315,26,220,12,182,1
15,20,2,7,26,1
19,6,0,5,12,3
812,99,237,149,33,1
73,28,10,24,115,3
372,23,250,12,108,1
871,111,145,55,166,1
375,152,93,91,81,1
760,80,17,13,80,1
471,0,99,21,12,1
31,9,16,9,33,1
819,0,12,0,63,2
1,4,8,9,7,1
203,35,46,17,227,1
26,0,2,1,2,2
354,21,167,75,32,1
1253,0,23,71,35,3
371,17,23,24,106,3
588,7,110,15,15,2
480,86,75,86,144,8
517,12,16,6,120,2
267,98,48,70,98,1
1111,24,160,45,172,0
7,7,7,16,15,3
1166,0,0,0,36,1
261,42,55,48,133,3
135,25,23,25,46,2
6,2,2,8,14,1
711,28,49,18,47,2
11,0,2,4,11,1
42,0,0,0,18,3
79,7,6,3,18,4
20,6,19,5,38,1
30,0,2,0,14,1
20,2,3,1,4,5
115,27,4,146,139,3
263,5,69,41,83,4
69,2,2,2,6,2
267,3,4,0,57,4
561,85,25,123,114,2
492,0,7,0,42,3
14,7,6,16,12,2
80,4,0,17,2,5
97,12,13,10,15,7
197,107,7,59,131,3
693,21,31,24,84,1
43,2,0,9,12,3
14,0,0,0,7,1
186,36,86,72,48,6
434,137,45,137,45,1
59,0,4,2,5,4
16,5,8,7,26,3
230,35,63,57,31,3
829,138,60,92,15,1
318,8,150,35,8,1
1206,55,168,18,18,1
292,3,10,3,26,7
30,9,2,11,30,3
729,17,11,0,195,5
12,1,0,0,7,1
2,1,1,0,1,0
22,3,0,0,11,1
587,43,42,87,54,3
674,168,192,42,231,1
284,3,4,7,23,2
1023,93,49,55,37,1
1394,22,89,91,182,1
311,26,180,37,121,1
27,0,0,1,5,2
1296,17,45,69,51,1
3,6,0,0,3,1
393,5,7,5,27,5
218,63,137,35,70,4
66,0,0,6,20,2
4,2,2,0,4,1
795,0,95,58,0,1
15,10,8,17,20,3
384,25,130,41,64,3
244,8,7,2,50,4
158,19,25,0,38,1
1285,21,106,20,20,1
349,16,28,5,182,5
4,12,3,13,15,2
223,2,0,2,39,5
157,43,68,56,37,6
397,46,20,38,70,2
901,31,75,31,191,1
14,3,2,1,28,4
10,0,0,0,4,1
1230,0,232,178,158,1
81,1,2,1,0,1
154,20,0,12,27,7
63,0,7,0,12,1
30,0,0,0,3,3
90,67,30,43,11,1
635,114,132,152,76,1
127,4,15,6,11,1
13,3,6,5,6,1
18,42,15,20,18,1
45,2,4,1,1,3
38,1,0,0,0,1
986,36,16,0,108,7
61,0,0,0,7,1
4,9,17,0,12,2
201,53,116,77,83,3
19,8,0,12,26,1
4,8,19,12,26,2
18,0,0,0,2,1
806,80,120,11,33,5
380,98,110,112,28,1
576,172,125,115,19,1
458,81,106,50,40,1
5,10,3,8,16,1
350,60,110,133,145,1
39,33,41,26,44,2
26,1,2,2,15,4
68,0,0,0,8,3
45,3,4,4,7,1
359,0,13,26,123,4
403,24,6,24,218,2
34,1,0,0,5,3
73,18,7,12,2,15
292,30,63,33,200,1
14,0,0,0,6,1
80,1,0,1,3,3
30,11,13,6,29,1
463,96,168,53,10,1
75,12,43,39,187,6
538,13,17,6,26,6
635,114,132,152,76,1
8,0,0,0,1,1
1315,22,145,0,178,1
4,2,7,5,26,2
12,0,2,0,10,1
347,44,17,0,26,1
192,5,0,5,15,4
241,0,0,0,25,1
631,28,30,14,56,1
336,28,184,54,54,1
1099,0,0,0,34,11
743,19,12,0,200,2
124,83,85,59,35,2
15,0,4,2,20,2
397,19,12,0,9,1
10,4,3,3,14,3
530,117,134,44,147,1
1215,33,64,116,149,8
3,2,0,4,2,1
444,44,11,8,17,1
26,0,2,1,2,2
736,114,82,76,190,6
473,21,19,21,56,3
32,0,2,0,8,2
288,10,4,10,125,1
1050,178,77,138,118,1
1001,44,58,44,44,1
9,1,0,3,2,2
234,14,19,10,42,2
7,2,2,0,3,1
251,108,65,92,117,1
172,10,21,13,16,6
565,42,64,83,99,1
5,0,2,0,0,1
918,57,99,38,133,1
652,8,21,0,142,4
4,1,2,1,2,2
152,27,106,54,81,0
8,0,2,1,3,1
336,130,240,32,43,1
938,19,25,95,38,1
68,8,19,8,12,2
227,23,42,21,75,1
38,4,3,3,3,3
105,0,2,1,4,3
162,50,55,30,27,1
574,8,21,16,33,1
160,80,67,39,41,1
6,0,0,0,1,1
614,35,58,35,35,2
897,161,186,161,27,0
70,54,80,9,45,2
120,19,25,19,54,6
211,2,7,7,10,2
11,0,7,6,21,1
760,53,17,93,0,1
53,0,0,0,2,1
7,4,15,8,17,2
391,32,21,32,16,2
199,9,20,21,6,7
516,56,86,33,16,1
709,45,30,160,45,1
12,0,0,0,0,1
1000,19,125,115,38,0
19,3,3,1,0,3
1224,28,0,14,168,3
16,2,3,0,24,1
88,39,64,28,153,1
2,23,8,6,46,1
508,11,23,5,29,5
381,28,84,28,21,2
74,0,2,1,6,2
146,0,7,13,73,5
23,17,43,20,9,1
110,5,26,23,29,2
165,3,4,24,41,7
957,47,82,47,95,4
41,0,3,1,16,2
1,3,2,3,11,1
176,29,0,33,112,1
815,8,11,0,70,4
6,1,2,0,4,1
8,4,6,3,16,1
717,42,219,30,84,2
1067,138,0,19,39,1
166,5,11,8,29,2
29,4,2,4,4,3
714,76,116,0,12,1
8,4,2,2,4,2
229,5,3,2,20,2
320,48,39,72,48,4
23,0,7,15,3,1
1,5,4,8,20,2
56,0,0,0,18,2
508,124,50,38,134,1
29,0,2,2,3,4
46,7,2,4,27,2
454,0,8,19,32,12
350,3,0,0,19,2
10,0,0,0,9,1
735,40,52,20,30,2
897,126,91,112,37,3
5,2,3,0,5,1
777,35,39,137,114,1
162,6,6,13,13,2
35,0,0,0,2,4
342,9,19,14,19,10
258,105,237,172,9,1
658,80,123,13,13,1
356,80,138,17,106,2
213,5,7,7,41,1
454,0,8,19,32,12
457,4,0,0,9,1
241,45,34,26,54,1
210,0,0,0,2,2
441,35,7,29,11,4
19,13,10,7,8,1
28,9,12,7,13,3
476,75,29,151,97,1
364,40,158,60,50,1
0,0,3,3,8,1
0,6,7,6,12,1
